bike_station_name,poi_name,distance,latitude,longitude
Robson & Hornby,Italian Kitchen,112.19239702885618,49.2825685,-123.1236112
Robson & Hornby,Le Crocodile Restaurant,227.12310160826848,49.2825393,-123.1252052
Robson & Hornby,Bacchus Restaurant & Lounge,66.34088555390585,49.28232,-123.12281
Robson & Hornby,Coast Restaurant,225.6955243196254,49.284914,-123.1234737
Robson & Hornby,Black & Blue,208.02017281564432,49.2845587688053,-123.122869190308
Cardero & Robson,Guu with Garlic,140.44072077566344,49.290249,-123.1338142
Cardero & Robson,Saku,26.138792320301047,49.289223,-123.132266
Cardero & Robson,Maruhachi Ra-men,155.12480596392803,49.2905691,-123.1333951
Cardero & Robson,Kingyo,357.5310115216686,49.29073911099211,-123.13705023185994
Cardero & Robson,The Red Accordion,128.79087480609817,49.29025,-123.131768
Cardero & Robson,Hokkaido Ramen Santouka,136.61215582851727,49.290236,-123.133811
Cardero & Robson,Sura Korean Cuisine,80.77205810917583,49.2888601838143,-123.131742169312
Cardero & Robson,Tabom,61.734441031065,49.28906007486266,-123.13187998252948
Cardero & Robson,Dinesty Dumpling House,213.64921640403557,49.2908176,-123.1343912
Cardero & Robson,Jingle Bao,308.0676103621459,49.291609,-123.134917
1st & Scotia,Red Truck Beer,73.49902505313355,49.2687840002752,-123.096584714949
1st & Scotia,Zarak By Afghan Kitchen,333.5533874065862,49.266224,-123.1006089
1st & Scotia,Nuba - Mount Pleasant,309.76257971321826,49.26797,-123.10171
1st & Scotia,Beta5 Chocolates,192.05365488753398,49.2698543,-123.0958534
1st & Scotia,Nemesis Coffee,387.41226181874543,49.26704079691957,-123.09265477054645
1st & Scotia,Fassil Ethiopian Restaurant,957.0454076940642,49.262316686122,-123.08833077466
1st & Scotia,AJ's Brooklyn Pizza Joint,620.8822706529936,49.2629437687572,-123.098307028413
1st & Scotia,Johnnie Fox's Irish Pub,398.35620435316076,49.27142,-123.10129
1st & Scotia,Narrow Lounge,212.83465076005052,49.2683702,-123.1006151
1st & Scotia,Bodega On Main,792.7633413069923,49.27548853708847,-123.09968391901442
10th & Fraser,Fassil Ethiopian Restaurant,119.21978074253657,49.262316686122,-123.08833077466
10th & Fraser,Pizzeria Barbarella,95.37553407589894,49.262323801504,-123.08982824163
10th & Fraser,Osteria Savio Volpe,460.295921113719,49.2574913,-123.0909344
10th & Fraser,Les Faux Bourgeois,470.9061223469704,49.2572813531481,-123.089767330802
10th & Fraser,L'atelier Patisserie,188.64169458450527,49.262649277632505,-123.09133920302548
10th & Fraser,Anh and Chi,1100.7870629861427,49.2550314422938,-123.100882202153
10th & Fraser,Sal y Limón,512.2639677422334,49.2569043786921,-123.08924632997
10th & Fraser,Published On Main,1287.6246243294338,49.25283186017385,-123.10116032897228
10th & Fraser,AJ's Brooklyn Pizza Joint,664.7992208566815,49.2629437687572,-123.098307028413
10th & Fraser,Burgoo Bistros,931.8786467025502,49.25765498958033,-123.100815
Ontario & 5th,Zarak By Afghan Kitchen,310.903942529523,49.266224,-123.1006089
Ontario & 5th,Tacofino Ocho,44.962185127499126,49.2663679970952,-123.104530161055
Ontario & 5th,Electric Bicycle Brewing,69.65438366602913,49.26708,-123.10423
Ontario & 5th,Nana's Green Tea,294.0204457883215,49.267587,-123.1086543
Ontario & 5th,Nuba - Mount Pleasant,266.0503317201137,49.26797,-123.10171
Ontario & 5th,Blaze Gourmet Burgers,77.71015263683367,49.266709,-123.103814
Ontario & 5th,R&B Brewing,104.82295290658114,49.2671,-123.10356
Ontario & 5th,The Flying Pig - Village,358.41635147721615,49.2694549333199,-123.10744805094537
Ontario & 5th,La Taqueria Pinche Taco Shop,672.3365758409674,49.263617,-123.112593
Ontario & 5th,Earnest Ice Cream,275.07247211241435,49.2688628769236,-123.102919221177
Heather & 16th,Hachibei Japanese Restaurant,108.98301596590545,49.256899,-123.1215336
Heather & 16th,Vij's Restaurant,389.291396282572,49.25754,-123.11479
Heather & 16th,Salmon n' Bannock,999.4721058242061,49.2631378,-123.1296705
Heather & 16th,Saku,737.9511805930733,49.2631006,-123.11667523250104
Heather & 16th,La Taqueria Pinche Taco Shop,917.9425139182546,49.263617,-123.112593
Heather & 16th,Indian Roti Kitchen,419.3336905328971,49.25901,-123.11538
Heather & 16th,Viet House,444.1883128865339,49.2546156379752,-123.114992380142
Heather & 16th,Passion8 Dessert Cafe,408.43903874327964,49.258435242883,-123.11499774456
Heather & 16th,Hokkaido Ramen Santouka,732.1991217423371,49.263127,-123.1168917
Heather & 16th,Osteria Elio Volpe,331.9169922697061,49.25585356808485,-123.11575714498758
Richards & Smithe,Tutto,89.95350947442351,49.2784091,-123.1187139
Richards & Smithe,Medina Cafe,201.82069968539383,49.2804429972571,-123.117036269849
Richards & Smithe,JINYA Ramen Bar - Vancouver Downtown,147.89700231921464,49.28031515071204,-123.1179057
Richards & Smithe,Lupo,173.7356633268377,49.278222058049096,-123.11735347768747
Richards & Smithe,Fanny Bay Oyster Bar & Shellfish Market,372.6417616296525,49.2787525,-123.1138689
Richards & Smithe,Tendon Kohaku,278.45702779799745,49.28107123873706,-123.12179426645872
Richards & Smithe,The Flying Pig,514.0448053037068,49.27501,-123.122
Richards & Smithe,The Parlour,280.6107973257014,49.276835,-123.120221
Richards & Smithe,Per Se Social Corner,89.28408953158932,49.2785831916346,-123.118480343303
Richards & Smithe,Japadog,123.22795781027435,49.28023880376068,-123.1183512558197
Robson & Beatty,Fanny Bay Oyster Bar & Shellfish Market,93.32238994432636,49.2787525,-123.1138689
Robson & Beatty,Lupo,231.52514315546614,49.278222058049096,-123.11735347768747
Robson & Beatty,Maruhachi Ra-Men,141.42437436555667,49.27854065320407,-123.1157914
Robson & Beatty,District Bar & Restaurant,14.724086942276863,49.2778742,-123.1141061
Robson & Beatty,Medina Cafe,359.69058740585257,49.2804429972571,-123.117036269849
Robson & Beatty,Browns Socialhouse QE Theatre,249.4825683105132,49.279919,-123.112788
Robson & Beatty,Tutto,348.370526178965,49.2784091,-123.1187139
Robson & Beatty,The Flying Pig,642.4259608677223,49.27501,-123.122
Robson & Beatty,Chambar,409.208527336062,49.2801460007961,-123.109925328073
Robson & Beatty,The Victor,301.92319325258836,49.27540569887477,-123.1121986054184
Maple Tree Square,Twisted Fork,60.4596817460896,49.283194,-123.104445
Maple Tree Square,Six Acres,51.364448207170284,49.283363150344336,-123.1044223000027
Maple Tree Square,Kozak Ukrainian Restaurant,113.54521446070167,49.282654874794794,-123.1046559827506
Maple Tree Square,L'Abattoir,61.190864689574795,49.2831869855333,-123.104450140894
Maple Tree Square,Di Beppe,134.7369519939473,49.28237705581659,-123.10450043738042
Maple Tree Square,MeeT,80.78092315756963,49.28343624826065,-123.1048494822089
Maple Tree Square,PiDGiN,178.14101259136243,49.2819071402452,-123.104188653967
Maple Tree Square,LOCAL Public Eatery Gastown,23.868461658125824,49.2835742,-123.1039517
Maple Tree Square,Gringo,121.46163189768512,49.2831553214634,-123.105335897068
Maple Tree Square,Miku,775.6378238974605,49.28691298612272,-123.11304877258942
22nd & Main,Published On Main,210.6305485841602,49.25283186017385,-123.10116032897228
22nd & Main,The Fish Counter,16.427755728153727,49.25076,-123.10136
22nd & Main,Zakkushi Dining On Main,205.3961753057646,49.249124,-123.101552
22nd & Main,Sun Sui Wah Seafood Restaurant,70.33552398824656,49.25053,-123.1006
22nd & Main,The Locus,270.2474430990123,49.2485,-123.10147
22nd & Main,Anh and Chi,455.9857354795883,49.2550314422938,-123.100882202153
22nd & Main,The Acorn,149.6164780080284,49.24958,-123.10143
22nd & Main,Bob Likes Thai Food,46.76231587111293,49.25134,-123.10133
22nd & Main,Portland Craft,25.456215868405593,49.25069,-123.10137
22nd & Main,Rocky Mountain Flatbread,351.12978984318676,49.2478,-123.10074
Carrall & Seawall,Chambar,493.94623167665424,49.2801460007961,-123.109925328073
Carrall & Seawall,Phnom Penh,649.2595042374951,49.278431,-123.098205
Carrall & Seawall,Fanny Bay Oyster Bar & Shellfish Market,606.5630613652648,49.2787525,-123.1138689
Carrall & Seawall,TAKO,313.23244537153937,49.278816,-123.1078822
Carrall & Seawall,Jam Cafe on Beatty,494.7928320472116,49.2802586,-123.1096376
Carrall & Seawall,Tokyo In April,464.29749692067026,49.2806813,-123.1073936
Carrall & Seawall,Caveman Cafe,502.6179980406496,49.280802324947445,-123.10703500282293
Carrall & Seawall,Chinatown BBQ,575.4840999804188,49.280294,-123.1015
Carrall & Seawall,Tutto,930.426313678636,49.2784091,-123.1187139
Carrall & Seawall,Nuba in Gastown,753.8601231315082,49.2827625062516,-123.109646101134
Charles & Woodland,Harbour Oyster + Bar,320.8717787314843,49.2718946138822,-123.069181591272
Charles & Woodland,Lunch Lady,348.41119922106594,49.27497,-123.06915
Charles & Woodland,Havana,292.9530129464332,49.273708,-123.069271
Charles & Woodland,Sopra Sotto,347.7419661313396,49.2711051,-123.0694651
Charles & Woodland,Sula Indian Restaurant,326.658323974048,49.2745279,-123.0693263
Charles & Woodland,Kulinarya,310.26136285746134,49.2744901,-123.0693269
Charles & Woodland,La Mezcaleria,438.6862881275124,49.2702237,-123.0694136
Charles & Woodland,Famoso Neapolitan Pizzeria,296.26032420553764,49.272346,-123.0693715
Charles & Woodland,Memphis Blues,294.2083982209947,49.2723737,-123.0693711
Charles & Woodland,Absinthe Bistro,437.4480278012797,49.27607,-123.0692457
1st & Manitoba,CRAFT Beer Market,31.874767343898476,49.2702147,-123.1060713
1st & Manitoba,The Flying Pig - Village,109.81662596102231,49.2694549333199,-123.10744805094537
1st & Manitoba,Tap & Barrel - Olympic Village,148.05074640379442,49.2715389,-123.106136
1st & Manitoba,Ophelia,142.66734389105275,49.2694549,-123.1083881
1st & Manitoba,Gusto A Taste of Italy,136.66519478487848,49.2714006565536,-123.10593623668
1st & Manitoba,Fanny Bay Oyster Bar & Shellfish Market,1082.3636509989342,49.2787525,-123.1138689
1st & Manitoba,Nana's Green Tea,332.5290598584275,49.267587,-123.1086543
1st & Manitoba,Terra Breads,136.67130212865527,49.27144458615277,-123.1067987907931
1st & Manitoba,Bao Down Gastropub + Raw bar,97.34674577049834,49.2694405,-123.1070806
1st & Manitoba,Phnom Penh,1092.9748744324397,49.278431,-123.098205
St Catherines & 7th,Fassil Ethiopian Restaurant,330.5913094965101,49.262316686122,-123.08833077466
St Catherines & 7th,Les Faux Bourgeois,865.3932460527336,49.2572813531481,-123.089767330802
St Catherines & 7th,Osteria Savio Volpe,880.721864299874,49.2574913,-123.0909344
St Catherines & 7th,AJ's Brooklyn Pizza Joint,967.2487427234734,49.2629437687572,-123.098307028413
St Catherines & 7th,Pizzeria Barbarella,412.747329197898,49.262323801504,-123.08982824163
St Catherines & 7th,The Hide Out Diner,419.9618655841555,49.2688895,-123.0811837
St Catherines & 7th,Sal y Limón,891.01792601726,49.2569043786921,-123.08924632997
St Catherines & 7th,Nemesis Coffee,613.1077374183885,49.26704079691957,-123.09265477054645
St Catherines & 7th,Kin Kao Song,985.3976574889988,49.2629749,-123.0986667
St Catherines & 7th,The Farmhouse,912.5737345330872,49.26185879464837,-123.09710762514682
